name,setting,seed,fold,fold_f1,fold_th
H12-4 current|future,"char(2,6)",4,0,0.5434782608695652,0.21999999999999992
H12-4 current|future,"char(2,6)",4,1,0.6122448979591837,0.22999999999999993
H12-4 current|future,"char(2,6)",4,2,0.5567010309278351,0.23499999999999993
H12-4 current|future,"char(2,6)",4,3,0.6027397260273972,0.3599999999999998
H12-4 current|future,"char(2,6)",4,4,0.7631578947368421,0.32499999999999984
H12-5 full|future,"char(2,6)",0,0,0.6017699115044248,0.17499999999999993
H12-5 full|future,"char(2,6)",0,1,0.675,0.33499999999999985
H12-5 full|future,"char(2,6)",0,2,0.5194805194805194,0.3099999999999999
H12-5 full|future,"char(2,6)",0,3,0.55,0.2749999999999999
H12-5 full|future,"char(2,6)",0,4,0.6597938144329897,0.2049999999999999
H12-5 full|future,"char(2,6)",1,0,0.6301369863013698,0.33499999999999985
H12-5 full|future,"char(2,6)",1,1,0.5952380952380952,0.27999999999999986
H12-5 full|future,"char(2,6)",1,2,0.5432098765432098,0.32499999999999984
H12-5 full|future,"char(2,6)",1,3,0.6506024096385542,0.23999999999999988
H12-5 full|future,"char(2,6)",1,4,0.6216216216216216,0.33499999999999985
